"Period,Period Label,CommodityProduct,CommodityProduct Label,""Growth rate, year-on-year"",""Growth rate, year-on-year Footnote"",Growth rate (over previous period),Growth rate (over previous period) Footnote,Index Base 2015,Index Base 2015 Footnote"
"1996M06,""June 1996"",IN0001.02,""Food "",2.73692,,0.91189,,85.21,"
"1996M06,""June 1996"",IN0001.03,""Tropical beverages"",-15.59716,,-4.49209,,74.84,"
"1996M06,""June 1996"",IN0001.04,""Vegetable oilseeds and oils "",7.40433,,-4.74668,,77.46,"
"1996M06,""June 1996"",IN0001.05,""Tropical beverages and food "",-2.01541,,-0.34965,,82.65,"
"1996M06,""June 1996"",IN0001.06,""Agricultural raw materials"",-10.23129,,-2.5011,,88.88,"
"1996M06,""June 1996"",IN0001.07,""Minerals, ores and metals"",-6.44654,,-5.70523,,41.65,"
"1996M06,""June 1996"",IN0001.08,""Minerals, ores and non-precious metals "",-10.14293,,-8.53637,,52.18,"
"1996M06,""June 1996"",IN0001.09,""Precious metals "",-1.39012,,-1.91233,,33.34,"
"1996M06,""June 1996"",IN0001.10,""Fuels "",11.63299,,0.56581,,40.88,"
"1996M06,""June 1996"",IN0001.20,""All groups"",3.68296,,-1.35246,,48.14,"
"1996M06,""June 1996"",IN0001.22,""All groups excl. fuels"",-3.88194,,-3.386,,59.92,"
"1996M06,""June 1996"",IN0001.23,""All groups excl. precious metals"",4.15541,,-1.29947,,50.13,"
"1996M06,""June 1996"",IN0001.24,""All groups excl. precious metals and fuels "",-4.38888,,-3.68435,,71.89,"
"1996M07,""Jul. 1996"",IN0001.01,""All food "",-1.06186,,-1.17168,,80.13,"
"1996M07,""Jul. 1996"",IN0001.02,""Food "",2.0933,,0.1643,,85.35,"
"1996M07,""Jul. 1996"",IN0001.03,""Tropical beverages"",-16.82321,,-6.52058,,69.96,"
"1996M07,""Jul. 1996"",IN0001.04,""Vegetable oilseeds and oils "",2.89234,,-0.80041,,76.84,"
"1996M07,""Jul. 1996"",IN0001.05,""Tropical beverages and food "",-2.59166,,-1.31881,,81.56,"
"1996M07,""Jul. 1996"",IN0001.06,""Agricultural raw materials"",-1.95451,,-0.10126,,88.79,"
"1996M07,""Jul. 1996"",IN0001.07,""Minerals, ores and metals"",-9.71175,,-2.23289,,40.72,"
"1996M07,""Jul. 1996"",IN0001.08,""Minerals, ores and non-precious metals "",-15.6889,,-3.60291,,50.3,"
"1996M07,""Jul. 1996"",IN0001.09,""Precious metals "",-1.30952,,-0.53989,,33.16,"
"1996M07,""Jul. 1996"",IN0001.10,""Fuels "",23.94614,,3.57143,,42.34,"
"1996M07,""Jul. 1996"",IN0001.20,""All groups"",8.82287,,1.20482,,48.72,"
"1996M07,""Jul. 1996"",IN0001.22,""All groups excl. fuels"",-4.69582,,-1.43525,,59.06,"
"1996M07,""Jul. 1996"",IN0001.23,""All groups excl. precious metals"",9.81197,,1.35647,,50.81,"
"1996M07,""Jul. 1996"",IN0001.24,""All groups excl. precious metals and fuels "",-5.36527,,-1.61358,,70.73,"
"1996M08,""Aug. 1996"",IN0001.01,""All food "",-1.7328,,-2.33371,,78.26,"
"1996M08,""Aug. 1996"",IN0001.02,""Food "",-0.52058,,-5.96368,,80.26,"
"1996M08,""Aug. 1996"",IN0001.03,""Tropical beverages"",-19.61847,,1.78674,,71.21,"
"1996M08,""Aug. 1996"",IN0001.04,""Vegetable oilseeds and oils "",8.31844,,2.52473,,78.78,"
"1996M08,""Aug. 1996"",IN0001.05,""Tropical beverages and food "",-5.56699,,-4.3281,,78.03,"
"1996M08,""Aug. 1996"",IN0001.06,""Agricultural raw materials"",-3.57951,,0.7208,,89.43,"
