Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
"2018A00,""2018"",2018,A,""Annual"",1210,""Developing economies: Africa"",08,""Liquefied natural gas carriers"",581,"
"2018A00,""2018"",2018,A,""Annual"",1220,""Developing economies: America"",00,""All ships"",163832,"
"2018A00,""2018"",2018,A,""Annual"",1220,""Developing economies: America"",01,""Passenger ships"",37687,"
"2018A00,""2018"",2018,A,""Annual"",1220,""Developing economies: America"",02,""Liquid bulk carriers"",34501,"
"2018A00,""2018"",2018,A,""Annual"",1220,""Developing economies: America"",03,""Container ships"",37284,"
"2018A00,""2018"",2018,A,""Annual"",1220,""Developing economies: America"",04,""Dry breakbulk carriers"",18600,"
"2018A00,""2018"",2018,A,""Annual"",1220,""Developing economies: America"",05,""Dry bulk carriers"",23701,"
"2018A00,""2018"",2018,A,""Annual"",1220,""Developing economies: America"",06,""Roll-on/ roll-off ships"",8017,"
"2018A00,""2018"",2018,A,""Annual"",1220,""Developing economies: America"",07,""Liquefied petroleum gas carriers"",3572,"
"2018A00,""2018"",2018,A,""Annual"",1220,""Developing economies: America"",08,""Liquefied natural gas carriers"",470,"
"2018A00,""2018"",2018,A,""Annual"",1230,""Developing economies: Asia"",00,""All ships"",996970,"
"2018A00,""2018"",2018,A,""Annual"",1230,""Developing economies: Asia"",01,""Passenger ships"",298493,"
"2018A00,""2018"",2018,A,""Annual"",1230,""Developing economies: Asia"",02,""Liquid bulk carriers"",184052,"
"2018A00,""2018"",2018,A,""Annual"",1230,""Developing economies: Asia"",03,""Container ships"",226371,"
"2018A00,""2018"",2018,A,""Annual"",1230,""Developing economies: Asia"",04,""Dry breakbulk carriers"",119820,"
"2018A00,""2018"",2018,A,""Annual"",1230,""Developing economies: Asia"",05,""Dry bulk carriers"",109071,"
"2018A00,""2018"",2018,A,""Annual"",1230,""Developing economies: Asia"",06,""Roll-on/ roll-off ships"",34355,"
"2018A00,""2018"",2018,A,""Annual"",1230,""Developing economies: Asia"",07,""Liquefied petroleum gas carriers"",20763,"
"2018A00,""2018"",2018,A,""Annual"",1230,""Developing economies: Asia"",08,""Liquefied natural gas carriers"",4045,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",00,""All ships"",86533,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",01,""Passenger ships"",59308,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",02,""Liquid bulk carriers"",4721,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",03,""Container ships"",2131,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",04,""Dry breakbulk carriers"",3281,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",05,""Dry bulk carriers"",13562,"
"2018A00,""2018"",2018,A,""Annual"",124,""Canada"",06,""Roll-on/ roll-off ships"",3530,"
"2018A00,""2018"",2018,A,""Annual"",1250,""Developing economies: Oceania"",00,""All ships"",13273,"
"2018A00,""2018"",2018,A,""Annual"",1250,""Developing economies: Oceania"",01,""Passenger ships"",6570,"
"2018A00,""2018"",2018,A,""Annual"",1250,""Developing economies: Oceania"",02,""Liquid bulk carriers"",905,"
"2018A00,""2018"",2018,A,""Annual"",1250,""Developing economies: Oceania"",03,""Container ships"",2155,"
"2018A00,""2018"",2018,A,""Annual"",1250,""Developing economies: Oceania"",04,""Dry breakbulk carriers"",2938,"
"2018A00,""2018"",2018,A,""Annual"",1250,""Developing economies: Oceania"",05,""Dry bulk carriers"",449,"
"2018A00,""2018"",2018,A,""Annual"",1250,""Developing economies: Oceania"",06,""Roll-on/ roll-off ships"",118,"
"2018A00,""2018"",2018,A,""Annual"",1250,""Developing economies: Oceania"",07,""Liquefied petroleum gas carriers"",38,"
"2018A00,""2018"",2018,A,""Annual"",1250,""Developing economies: Oceania"",08,""Liquefied natural gas carriers"",100,"
"2018A00,""2018"",2018,A,""Annual"",1300,""Transition economies"",00,""All ships"",110327,"
"2018A00,""2018"",2018,A,""Annual"",1300,""Transition economies"",01,""Passenger ships"",25027,"
"2018A00,""2018"",2018,A,""Annual"",1300,""Transition economies"",02,""Liquid bulk carriers"",26768,"
"2018A00,""2018"",2018,A,""Annual"",1300,""Transition economies"",03,""Container ships"",5048,"
"2018A00,""2018"",2018,A,""Annual"",1300,""Transition economies"",04,""Dry breakbulk carriers"",37803,"
"2018A00,""2018"",2018,A,""Annual"",1300,""Transition economies"",05,""Dry bulk carriers"",9371,"
"2018A00,""2018"",2018,A,""Annual"",1300,""Transition economies"",06,""Roll-on/ roll-off ships"",5348,"
"2018A00,""2018"",2018,A,""Annual"",1300,""Transition economies"",07,""Liquefied petroleum gas carriers"",701,"
"2018A00,""2018"",2018,A,""Annual"",1300,""Transition economies"",08,""Liquefied natural gas carriers"",261,"
