MEASURE - Metric tons in millions

",YEAR,""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"""
"Europe,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",223.9165,221.3224,226.4475,220.2214,233.752,210.4597,214.528,211.2936,218.772,229.4582,253.0993,276.1795,273.9833,262.7903"
"Europe,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",277.1416,293.1539,298.1715,280.4371,308.652,311.726,327.4865,317.525,307.9798,311.0624,300.6258,313.8909,303.6139,308.0239"
"Europe,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1013.913,1019.752,1006.823,970.4757,1039.088,1078.332,1147.865,1169.127,1172.314,1189.96,1159.516,1183.782,1199.5,1200.878"
"Europe,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1514.971,1534.228,1531.442,1471.134,1581.492,1600.517,1689.88,1697.946,1699.066,1730.481,1713.241,1773.853,1777.098,1771.692"
"Europe,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",541.169,499.4961,494.1613,471.404,481.5218,462.1122,471.826,435.6621,434.8297,487.7477,475.258,500.8343,483.316,493.6313"
"Europe,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",285.2438,265.6744,276.7558,286.3443,285.0903,340.869,328.0427,336.2514,311.0069,320.7369,299.4127,315.1578,299.4031,291.371"
"Europe,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1307.499,1220.209,1291.51,1019.369,1109.322,1158.918,1178.295,1162.211,1211.733,1215.982,1302.565,1290.05,1323.286,1324.313"
"Europe,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",2133.912,1985.38,2062.427,1777.118,1875.934,1961.899,1978.163,1934.125,1957.57,2024.467,2077.236,2106.042,2106.005,2109.315"
"Oceania,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",11.05827,14.55066,17.82399,14.04637,17.86477,16.64612,16.86165,15.76206,13.58206,15.07406,15.23406,11.98,14.285,13.28"
"Oceania,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",4.434689,4.185701,4.053688,4.984578,4.71668,10.85687,21.08093,35.43316,41.97178,46.66434,49.0653,57.45907,60.517,60.673"
"Oceania,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",637.17,660.7240000000001,723.2784,728.314,898.7670000000001,923.4047000000001,970.1578,988.4921000000001,1183.582,1202.37,1298.365,1441.334,1494.013,1493.066"
"Oceania,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",652.6629,679.4604000000001,745.156,747.3449000000001,921.3484999999999,950.9077,1008.1,1039.687,1239.136,1264.109,1362.665,1510.773,1568.815,1567.019"
"Oceania,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",26.76566,27.53961,27.81406,21.9987,25.35045,28.04411,32.3811,27.1128,28.07731,28.30099,25.26289,27.5255,29.62,24.909"
"Oceania,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",18.26762,22.08491,24.1444,18.84742,23.84152,22.47621,24.00821,28.84321,22.91131,24.47433,20.79821,21.65721,26.53793,25.00621"
"Oceania,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",58.1126,59.54587,64.78623,68.97596,69.15533000000001,77.40938,82.1888,91.60930000000001,104.6334,108.2528,113.2439,96.23739999999999,102.6273,100.1664"
"Oceania,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",103.1459,109.1704,116.7447,109.8221,118.3473,127.9297,138.5781,147.5653,155.622,161.0281,159.305,145.4201,158.7852,150.0816"
